iter	Passed	Remaining
597	2483	1669
598	2487	1665
599	2491	1660
600	2495	1656
601	2500	1652
602	2504	1648
603	2508	1644
604	2512	1640
605	2517	1637
606	2521	1632
607	2525	1628
608	2529	1624
609	2534	1620
610	2538	1616
611	2543	1612
612	2547	1608
613	2552	1604
614	2556	1600
615	2560	1596
616	2565	1592
617	2569	1588
618	2573	1584
619	2578	1580
620	2581	1575
621	2585	1571
622	2589	1566
623	2592	1562
624	2595	1557
625	2599	1552
626	2602	1548
627	2605	1543
628	2609	1539
629	2614	1535
630	2618	1531
631	2621	1526
632	2625	1522
633	2629	1517
634	2632	1513
635	2636	1508
636	2639	1504
637	2642	1499
638	2646	1494
639	2649	1490
640	2653	1486
641	2656	1481
642	2660	1477
643	2663	1472
644	2667	1467
645	2670	1463
646	2673	1458
647	2677	1454
648	2680	1449
649	2684	1445
650	2687	1440
651	2691	1436
652	2694	1431
653	2698	1427
654	2701	1422
655	2705	1418
656	2709	1414
657	2712	1409
658	2716	1405
659	2719	1401
660	2723	1396
661	2726	1392
662	2730	1387
663	2733	1383
664	2737	1378
665	2740	1374
666	2744	1370
667	2748	1365
668	2751	1361
669	2755	1356
670	2758	1352
671	2762	1348
672	2765	1343
673	2769	1339
674	2772	1335
675	2776	1330
676	2779	1326
677	2783	1321
678	2786	1317
679	2789	1312
680	2793	1308
681	2796	1304
682	2800	1299
683	2803	1295
684	2806	1290
685	2810	1286
686	2814	1282
687	2817	1277
688	2821	1273
689	2824	1269
690	2828	1264
691	2831	1260
692	2835	1256
693	2839	1251
694	2842	1247
695	2846	1243
696	2849	1238
697	2853	1234
698	2856	1230
699	2860	1225
700	2863	1221
701	2867	1217
702	2887	1219
703	2895	1217
704	2904	1215
705	2908	1211
706	2912	1206
707	2915	1202
708	2919	1198
709	2922	1193
710	2926	1189
711	2930	1185
712	2933	1180
713	2937	1176
714	2940	1172
715	2944	1167
716	2948	1163
717	2951	1159
718	2955	1154
719	2958	1150
720	2962	1146
721	2965	1141
722	2968	1137
723	2972	1133
724	2976	1128
725	2980	1124
726	2984	1120
727	2988	1116
728	2992	1112
729	2996	1108
730	3000	1104
731	3005	1100
732	3009	1096
733	3013	1092
734	3017	1087
735	3021	1083
736	3025	1079
737	3030	1075
738	3033	1071
739	3038	1067
740	3042	1063
741	3046	1059
742	3050	1055
743	3055	1051
744	3059	1047
745	3063	1043
746	3067	1038
747	3071	1034
748	3075	1030
749	3079	1026
750	3082	1022
751	3086	1017
752	3089	1013
753	3093	1009
754	3096	1004
755	3100	1000
756	3103	996
757	3107	992
758	3111	987
759	3114	983
760	3118	979
761	3121	974
762	3125	970
763	3128	966
764	3131	962
765	3135	957
766	3138	953
767	3142	949
768	3145	944
769	3149	940
770	3153	936
771	3156	932
772	3159	927
773	3163	923
774	3166	919
775	3170	915
776	3173	910
777	3176	906
778	3180	902
779	3184	898
780	3188	893
781	3191	889
782	3195	885
783	3198	881
784	3202	877
785	3205	872
786	3209	868
787	3213	864
788	3216	860
789	3220	856
790	3223	851
791	3227	847
792	3231	843
793	3234	839
794	3238	834
795	3241	830
796	3244	826
797	3248	822
798	3252	818
799	3256	814
800	3259	809
801	3263	805
802	3266	801
803	3270	797
804	3273	793
805	3277	788
806	3280	784
807	3284	780
808	3288	776
809	3291	772
810	3317	773
811	3323	769
812	3329	765
813	3332	761
814	3336	757
815	3340	753
816	3344	749
817	3349	745
818	3353	741
819	3358	737
820	3362	733
821	3365	728
822	3369	724
823	3374	720
824	3378	716
825	3382	712
826	3385	708
827	3390	704
828	3394	700
829	3398	696
830	3402	691
831	3407	687
832	3411	683
833	3415	679
834	3420	675
835	3424	671
836	3429	667
837	3433	663
838	3437	659
839	3442	655
840	3446	651
841	3450	647
842	3456	643
843	3460	639
844	3464	635
845	3468	631
846	3473	627
847	3477	623
848	3482	619
849	3486	615
850	3490	611
851	3495	607
852	3500	603
853	3505	599
854	3509	595
855	3514	591
856	3519	587
857	3524	583
858	3530	579
859	3536	575
860	3541	571
861	3546	567
862	3551	563
863	3556	559
864	3561	555
865	3566	551
866	3571	547
867	3576	543
868	3581	539
869	3585	535
870	3589	531
871	3595	527
872	3600	523
873	3606	519
874	3611	515
875	3616	511
876	3620	507
877	3624	503
878	3628	499
879	3632	495
880	3636	491
881	3640	487
882	3646	483
883	3650	479
884	3654	474
885	3659	470
886	3662	466
887	3667	462
888	3671	458
889	3675	454
890	3679	450
891	3683	446
892	3688	441
893	3692	437
894	3696	433
895	3700	429
896	3704	425
897	3708	421
898	3713	417
899	3716	412
900	3721	408
901	3725	404
902	3729	400
903	3733	396
904	3737	392
905	3741	388
906	3745	384
907	3749	379
908	3752	375
909	3756	371
910	3759	367
911	3763	363
912	3766	358
913	3770	354
914	3773	350
915	3777	346
916	3780	342
917	3784	338
918	3787	333
919	3791	329
920	3794	325
921	3797	321
922	3801	317
923	3804	312
924	3808	308
925	3812	304
926	3816	300
